2-Jun,PTA Council Meeting,All Day
9-Jun,MS: 8th Grade Awards Night,All Day
10-Jun,Board of Education Meeting at 7pm,All Day
11-Jun,Booster Club Meeting,All Day
12-Jun,MS: PTA Meeting,All Day
19-Jun,District Closed for Holiday,All Day
25-Jun,MS: Moving Up Ceremony & End of Year Dinner Dance,All Day
27-Jun,HS/MS: End of 4th Marking Quarter,All Day
27-Jun,Last Day of School For Students,8:00 AM-9:00 AM
